id;pos_x;pos_y;pos_z;degree;isAtSampleBorder
66;-241.0;-33.0;15.0;1;0
67;-178.0;-126.0;16.0;1;0
68;-16.0;-128.0;17.0;1;0
69;-7.0;-144.0;17.0;1;0
70;-52.0;-49.0;18.0;1;0
71;-139.0;-147.0;18.0;1;0
72;-172.0;-218.0;18.0;1;0
73;-25.0;-292.0;18.0;1;0
74;-136.0;-292.0;18.0;1;0
75;-209.0;-292.0;18.0;1;0
76;-94.0;-80.0;19.0;1;0
77;-132.0;-128.0;19.0;1;0
78;-315.0;-169.0;19.0;1;0
79;-45.0;-213.0;19.0;1;0
80;-183.0;-127.0;20.0;1;0
81;-220.0;-135.0;20.0;1;0
82;-51.0;-89.0;21.0;1;0
83;-113.0;-138.0;21.0;1;0
84;-291.0;-204.0;21.0;1;0
85;-184.0;-144.0;23.0;1;0
86;-172.0;-186.0;23.0;1;0
87;-313.0;-197.0;24.0;1;0
88;-193.0;-270.0;24.0;1;0
89;-310.0;-291.0;25.0;1;0
90;-40.0;-292.0;25.0;1;0
91;-74.0;-31.0;26.0;1;0
92;-197.0;-40.0;26.0;1;0
93;-100.0;-32.0;27.0;1;0
94;-156.0;-118.0;28.0;1;0
95;-170.0;-293.0;28.0;1;0
96;-238.0;-258.0;29.0;1;0
97;-201.0;-142.0;30.0;1;0
98;-7.0;-216.0;32.0;1;0
99;-311.0;-274.0;32.0;1;0
100;-211.0;-291.0;32.0;1;0
101;-209.0;-79.0;34.0;1;0
102;-167.0;-72.0;36.0;1;0
103;-88.0;-91.0;36.0;1;0
104;-8.0;-154.0;37.0;1;0
105;-8.0;-245.0;38.0;1;0
106;-182.0;-30.0;39.0;1;0
107;-102.0;-149.0;39.0;1;0
108;-200.0;-185.0;39.0;1;0
109;-81.0;-32.0;40.0;1;0
110;-152.0;-126.0;40.0;1;0
111;-271.0;-166.0;41.0;1;0
112;-313.0;-262.0;41.0;1;0
113;-238.0;-221.0;42.0;1;0
114;-116.0;-75.0;43.0;1;0
115;-13.0;-184.0;43.0;1;0
116;-59.0;-292.0;43.0;1;0
117;-10.0;-90.0;44.0;1;0
118;-59.0;-94.0;44.0;1;0
119;-314.0;-197.0;44.0;1;0
120;-102.0;-223.0;44.0;1;0
121;-172.0;-283.0;44.0;1;0
122;-228.0;-28.0;45.0;1;0
123;-190.0;-188.0;45.0;1;0
124;-92.0;-157.0;46.0;1;0
125;-228.0;-162.0;46.0;1;0
126;-7.0;-147.0;47.0;1;0
127;-287.0;-227.0;47.0;1;0
128;-202.0;-97.0;48.0;1;0
129;-294.0;-123.0;49.0;1;0
130;-241.0;-157.0;49.0;1;0
131;-312.0;-233.0;49.0;1;0
132;-143.0;-293.0;49.0;1;0
133;-312.0;-285.0;50.0;1;0
134;-50.0;-286.0;51.0;1;0
135;-283.0;-156.0;52.0;1;0
136;-184.0;-171.0;52.0;1;0
137;-150.0;-282.0;52.0;1;0
138;-158.0;-51.0;53.0;1;0
139;-276.0;-65.0;53.0;1;0
140;-314.0;-198.0;53.0;1;0
141;-170.0;-292.0;54.0;1;0
142;-199.0;-32.0;55.0;1;0
143;-9.0;-292.0;55.0;1;0
144;-121.0;-292.0;55.0;1;0
145;-154.0;-209.0;56.0;1;0
146;-167.0;-88.0;57.0;1;0
147;-229.0;-199.0;57.0;1;0
148;-16.0;-251.0;57.0;1;0
149;-55.0;-27.0;58.0;1;0
150;-86.0;-71.0;58.0;1;0
151;-315.0;-152.0;58.0;1;0
152;-291.0;-178.0;60.0;1;0
153;-8.0;-180.0;60.0;1;0
154;-276.0;-186.0;60.0;1;0
155;-162.0;-53.0;61.0;1;0
156;-55.0;-54.0;61.0;1;0
157;-181.0;-60.0;61.0;1;0
158;-204.0;-202.0;61.0;1;0
159;-314.0;-69.0;62.0;1;0
160;-49.0;-166.0;62.0;1;0
161;-121.0;-185.0;62.0;1;0
162;-226.0;-286.0;62.0;1;0
163;-309.0;-51.0;63.0;1;0
164;-123.0;-199.0;63.0;1;0
165;-235.0;-295.0;63.0;1;0
166;-207.0;-170.0;64.0;1;0
167;-119.0;-131.0;65.0;1;0
168;-59.0;-293.0;65.0;1;0
169;-8.0;-38.0;66.0;1;0
170;-67.0;-191.0;66.0;1;0
171;-315.0;-136.0;67.0;1;0
172;-9.0;-262.0;67.0;1;0
173;-94.0;-293.0;67.0;1;0
174;-223.0;-60.0;68.0;1;0
175;-309.0;-123.0;69.0;1;0
176;-143.0;-174.0;70.0;1;0
177;-10.0;-248.0;70.0;1;0
178;-47.0;-66.0;71.0;1;0
179;-199.0;-90.0;71.0;1;0
180;-9.0;-100.0;71.0;1;0
181;-91.0;-29.0;72.0;1;0
182;-189.0;-83.0;72.0;1;0
183;-60.0;-184.0;72.0;1;0
184;-245.0;-294.0;72.0;1;0
185;-310.0;-60.0;73.0;1;0
186;-149.0;-74.0;73.0;1;0
187;-200.0;-114.0;73.0;1;0
188;-104.0;-151.0;73.0;1;0
189;-128.0;-202.0;73.0;1;0
190;-9.0;-193.0;74.0;1;0
191;-23.0;-102.0;77.0;1;0
192;-173.0;-135.0;77.0;1;0
193;-9.0;-160.0;77.0;1;0
194;-313.0;-212.0;77.0;1;0
195;-48.0;-89.0;78.0;1;0
196;-297.0;-247.0;78.0;1;0
197;-309.0;-252.0;78.0;1;0
198;-163.0;-140.0;79.0;1;0
199;-205.0;-291.0;79.0;1;0
200;-77.0;-50.0;80.0;1;0
201;-194.0;-262.0;80.0;1;0
202;-122.0;-50.0;81.0;1;0
203;-237.0;-98.0;83.0;1;0
204;-152.0;-292.0;83.0;1;0
205;-65.0;-293.0;83.0;1;0
206;-208.0;-30.0;84.0;1;0
207;-263.0;-100.0;84.0;1;0
208;-99.0;-124.0;84.0;1;0
209;-140.0;-134.0;84.0;1;0
210;-68.0;-32.0;85.0;1;0
211;-7.0;-63.0;85.0;1;0
212;-247.0;-89.0;85.0;1;0
213;-155.0;-255.0;86.0;1;0
214;-61.0;-257.0;86.0;1;0
215;-164.0;-213.0;87.0;1;0
216;-45.0;-291.0;87.0;1;0
217;-65.0;-193.0;88.0;1;0
218;-238.0;-258.0;88.0;1;0
219;-233.0;-35.0;89.0;1;0
220;-6.0;-217.0;89.0;1;0
221;-99.0;-36.0;90.0;1;0
222;-214.0;-86.0;90.0;1;0
223;-311.0;-287.0;90.0;1;0
224;-313.0;-192.0;92.0;1;0
225;-136.0;-217.0;92.0;1;0
226;-313.0;-241.0;92.0;1;0
227;-233.0;-281.0;92.0;1;0
228;-119.0;-272.0;93.0;1;0
229;-184.0;-291.0;94.0;1;0
230;-248.0;-102.0;95.0;1;0
231;-161.0;-115.0;95.0;1;0
232;-315.0;-211.0;95.0;1;0
233;-134.0;-292.0;95.0;1;0
234;-234.0;-44.0;96.0;1;0
235;-314.0;-47.0;96.0;1;0
236;-11.0;-79.0;96.0;1;0
237;-12.0;-145.0;97.0;1;0
238;-241.0;-35.0;98.0;1;0
239;-314.0;-123.0;98.0;1;0
240;-29.0;-127.0;101.0;1;0
241;-39.0;-158.0;101.0;1;0
242;-302.0;-294.0;101.0;1;0
243;-13.0;-75.0;102.0;1;0
244;-100.0;-91.0;102.0;1;0
245;-126.0;-178.0;102.0;1;0
246;-198.0;-291.0;102.0;1;0
247;-156.0;-292.0;102.0;1;0
248;-258.0;-222.0;103.0;1;0
249;-104.0;-261.0;103.0;1;0
250;-48.0;-263.0;103.0;1;0
251;-302.0;-40.0;104.0;1;0
252;-174.0;-221.0;104.0;1;0
253;-266.0;-273.0;104.0;1;0
254;-242.0;-155.0;105.0;1;0
255;-124.0;-218.0;105.0;1;0
256;-154.0;-242.0;105.0;1;0
257;-225.0;-293.0;105.0;1;0
258;-245.0;-139.0;106.0;1;0
259;-127.0;-290.0;106.0;1;0
260;-64.0;-105.0;107.0;1;0
261;-159.0;-259.0;107.0;1;0
262;-51.0;-290.0;107.0;1;0
263;-197.0;-122.0;108.0;1;0
264;-311.0;-125.0;108.0;1;0
265;-87.0;-160.0;108.0;1;0
266;-242.0;-293.0;108.0;1;0
267;-8.0;-257.0;109.0;1;0
268;-10.0;-293.0;109.0;1;0
269;-146.0;-28.0;110.0;1;0
270;-312.0;-204.0;110.0;1;0
271;-240.0;-253.0;110.0;1;0
272;-90.0;-289.0;110.0;1;0
273;-234.0;-82.0;111.0;1;0
274;-20.0;-281.0;111.0;1;0
275;-90.0;-88.0;113.0;1;0
276;-267.0;-97.0;113.0;1;0
277;-312.0;-105.0;113.0;1;0
278;-248.0;-207.0;113.0;1;0
279;-130.0;-235.0;113.0;1;0
280;-121.0;-33.0;114.0;1;0
281;-314.0;-214.0;114.0;1;0
282;-314.0;-27.0;115.0;1;0
283;-97.0;-147.0;115.0;1;0
284;-17.0;-178.0;115.0;1;0
285;-310.0;-273.0;115.0;1;0
286;-260.0;-290.0;115.0;1;0
287;-90.0;-293.0;115.0;1;0
288;-59.0;-106.0;116.0;1;0
289;-238.0;-141.0;116.0;1;0
290;-126.0;-170.0;116.0;1;0
291;-46.0;-174.0;116.0;1;0
292;-7.0;-135.0;117.0;1;0
293;-96.0;-137.0;118.0;1;0
294;-149.0;-292.0;118.0;1;0
295;-143.0;-149.0;119.0;1;0
296;-139.0;-131.0;120.0;1;0
297;-61.0;-144.0;121.0;1;0
298;-214.0;-231.0;121.0;1;0
299;-147.0;-74.0;122.0;1;0
300;-124.0;-208.0;123.0;1;0
301;-134.0;-234.0;123.0;1;0
302;-84.0;-86.0;124.0;1;0
303;-77.0;-183.0;124.0;1;0
304;-188.0;-293.0;125.0;1;0
305;-13.0;-150.0;126.0;1;0
306;-228.0;-195.0;126.0;1;0
307;-8.0;-294.0;126.0;1;0
308;-6.0;-29.0;127.0;1;0
309;-217.0;-87.0;127.0;1;0
310;-131.0;-192.0;127.0;1;0
311;-174.0;-293.0;127.0;1;0
312;-72.0;-58.0;128.0;1;0
313;-196.0;-116.0;128.0;1;0
314;-313.0;-223.0;128.0;1;0
315;-59.0;-292.0;128.0;1;0
316;-73.0;-294.0;128.0;1;0
317;-80.0;-198.0;129.0;1;0
318;-80.0;-263.0;129.0;1;0
319;-129.0;-124.0;130.0;1;0
320;-157.0;-214.0;130.0;1;0
321;-194.0;-294.0;130.0;1;0
322;-276.0;-135.0;131.0;1;0
323;-134.0;-148.0;131.0;1;0
324;-165.0;-175.0;131.0;1;0
325;-20.0;-292.0;131.0;1;0
326;-93.0;-293.0;132.0;1;0
327;-222.0;-292.0;133.0;1;0
328;-173.0;-119.0;134.0;1;0
329;-253.0;-60.0;135.0;1;0
330;-267.0;-70.0;135.0;1;0
331;-68.0;-147.0;136.0;1;0
332;-308.0;-154.0;136.0;1;0
333;-118.0;-179.0;136.0;1;0
334;-195.0;-245.0;136.0;1;0
335;-257.0;-251.0;136.0;1;0
336;-8.0;-59.0;137.0;1;0
337;-210.0;-95.0;138.0;1;0
338;-226.0;-278.0;138.0;1;0
339;-105.0;-295.0;138.0;1;0
340;-105.0;-29.0;139.0;1;0
341;-43.0;-39.0;139.0;1;0
342;-248.0;-149.0;139.0;1;0
343;-258.0;-210.0;139.0;1;0
344;-260.0;-214.0;140.0;1;0
345;-134.0;-30.0;141.0;1;0
346;-276.0;-97.0;141.0;1;0
347;-145.0;-138.0;141.0;1;0
348;-120.0;-204.0;141.0;1;0
349;-122.0;-289.0;141.0;1;0
350;-40.0;-87.0;143.0;1;0
351;-271.0;-205.0;143.0;1;0
352;-6.0;-212.0;143.0;1;0
353;-11.0;-292.0;143.0;1;0
354;-295.0;-232.0;144.0;1;0
355;-314.0;-232.0;144.0;1;0
356;-314.0;-270.0;144.0;1;0
357;-163.0;-33.0;145.0;1;0
358;-310.0;-78.0;146.0;1;0
359;-47.0;-133.0;146.0;1;0
360;-213.0;-167.0;146.0;1;0
361;-28.0;-249.0;146.0;1;0
362;-157.0;-287.0;146.0;1;0
363;-147.0;-95.0;147.0;1;0
364;-108.0;-108.0;147.0;1;0
365;-52.0;-211.0;147.0;1;0
366;-228.0;-39.0;148.0;1;0
367;-248.0;-56.0;148.0;1;0
368;-189.0;-75.0;148.0;1;0
369;-192.0;-126.0;148.0;1;0
370;-230.0;-180.0;148.0;1;0
371;-291.0;-294.0;148.0;1;0
372;-198.0;-164.0;149.0;1;0
373;-6.0;-179.0;149.0;1;0
374;-134.0;-262.0;149.0;1;0
375;-50.0;-190.0;150.0;1;0
376;-131.0;-73.0;151.0;1;0
377;-124.0;-192.0;151.0;1;0
378;-224.0;-237.0;152.0;1;0
379;-301.0;-33.0;153.0;1;0
380;-315.0;-38.0;153.0;1;0
381;-219.0;-33.0;155.0;1;0
382;-228.0;-113.0;155.0;1;0
383;-39.0;-137.0;155.0;1;0
384;-315.0;-186.0;155.0;1;0
385;-151.0;-293.0;155.0;1;0
386;-153.0;-49.0;156.0;1;0
387;-105.0;-292.0;156.0;1;0
388;-242.0;-293.0;156.0;1;0
389;-85.0;-33.0;157.0;1;0
390;-49.0;-98.0;157.0;1;0
391;-171.0;-291.0;157.0;1;0
392;-14.0;-77.0;158.0;1;0
393;-197.0;-159.0;158.0;1;0
394;-93.0;-250.0;158.0;1;0
395;-133.0;-37.0;159.0;1;0
396;-159.0;-74.0;159.0;1;0
397;-234.0;-83.0;159.0;1;0
398;-13.0;-280.0;159.0;1;0
399;-50.0;-294.0;159.0;1;0
400;-60.0;-30.0;160.0;1;0
401;-291.0;-235.0;160.0;1;0
402;-130.0;-286.0;160.0;1;0
403;-55.0;-194.0;162.0;1;0
404;-181.0;-229.0;162.0;1;0
405;-307.0;-130.0;163.0;1;0
406;-182.0;-256.0;163.0;1;0
407;-237.0;-293.0;164.0;1;0
408;-36.0;-111.0;165.0;1;0
409;-177.0;-144.0;165.0;1;0
410;-10.0;-155.0;165.0;1;0
411;-8.0;-254.0;165.0;1;0
412;-132.0;-122.0;166.0;1;0
413;-184.0;-156.0;166.0;1;0
414;-312.0;-50.0;167.0;1;0
415;-314.0;-110.0;167.0;1;0
416;-7.0;-29.0;168.0;1;0
417;-200.0;-226.0;168.0;1;0
418;-209.0;-289.0;168.0;1;0
419;-110.0;-121.0;169.0;1;0
420;-310.0;-271.0;169.0;1;0
421;-196.0;-36.0;170.0;1;0
422;-60.0;-48.0;171.0;1;0
423;-307.0;-140.0;171.0;1;0
424;-70.0;-165.0;171.0;1;0
425;-312.0;-177.0;171.0;1;0
426;-312.0;-203.0;171.0;1;0
427;-195.0;-280.0;171.0;1;0
428;-125.0;-32.0;172.0;1;0
429;-61.0;-85.0;172.0;1;0
430;-99.0;-293.0;172.0;1;0
431;-7.0;-52.0;173.0;1;0
432;-155.0;-57.0;173.0;1;0
433;-179.0;-273.0;173.0;1;0
434;-108.0;-284.0;173.0;1;0
435;-117.0;-93.0;174.0;1;0
436;-175.0;-294.0;174.0;1;0
437;-219.0;-169.0;175.0;1;0
438;-34.0;-187.0;175.0;1;0
439;-288.0;-75.0;176.0;1;0
440;-49.0;-223.0;177.0;1;0
441;-125.0;-81.0;178.0;1;0
442;-166.0;-62.0;179.0;1;0
443;-202.0;-63.0;179.0;1;0
444;-212.0;-131.0;179.0;1;0
445;-261.0;-152.0;180.0;1;0
446;-41.0;-182.0;180.0;1;0
447;-92.0;-239.0;180.0;1;0
448;-143.0;-253.0;180.0;1;0
449;-233.0;-28.0;181.0;1;0
450;-313.0;-105.0;181.0;1;0
451;-315.0;-59.0;182.0;1;0
452;-284.0;-109.0;182.0;1;0
453;-314.0;-188.0;182.0;1;0
454;-10.0;-171.0;183.0;1;0
455;-311.0;-215.0;183.0;1;0
456;-158.0;-30.0;184.0;1;0
457;-36.0;-35.0;184.0;1;0
458;-65.0;-108.0;184.0;1;0
459;-103.0;-29.0;185.0;1;0
460;-211.0;-113.0;185.0;1;0
461;-209.0;-130.0;185.0;1;0
462;-94.0;-239.0;185.0;1;0
463;-11.0;-210.0;186.0;1;0
464;-112.0;-236.0;186.0;1;0
465;-288.0;-291.0;186.0;1;0
466;-186.0;-146.0;187.0;1;0
467;-220.0;-119.0;188.0;1;0
468;-254.0;-231.0;189.0;1;0
469;-254.0;-249.0;189.0;1;0
470;-312.0;-270.0;189.0;1;0
471;-91.0;-288.0;189.0;1;0
472;-79.0;-111.0;190.0;1;0
473;-182.0;-119.0;190.0;1;0
474;-313.0;-275.0;190.0;1;0
475;-262.0;-292.0;190.0;1;0
476;-230.0;-109.0;191.0;1;0
477;-313.0;-124.0;191.0;1;0
478;-256.0;-261.0;193.0;1;0
479;-17.0;-37.0;195.0;1;0
480;-300.0;-38.0;195.0;1;0
481;-124.0;-268.0;195.0;1;0
482;-264.0;-28.0;196.0;1;0
483;-39.0;-33.0;196.0;1;0
484;-210.0;-221.0;196.0;1;0
485;-202.0;-69.0;197.0;1;0
486;-253.0;-78.0;197.0;1;0
487;-270.0;-196.0;197.0;1;0
488;-86.0;-118.0;198.0;1;0
489;-7.0;-261.0;198.0;1;0
490;-23.0;-287.0;198.0;1;0
491;-242.0;-291.0;198.0;1;0
492;-123.0;-293.0;198.0;1;0
493;-154.0;-127.0;199.0;1;0
494;-40.0;-150.0;199.0;1;0
495;-75.0;-175.0;199.0;1;0
496;-248.0;-30.0;201.0;1;0
497;-280.0;-120.0;201.0;1;0
498;-236.0;-72.0;202.0;1;0
499;-82.0;-231.0;202.0;1;0
500;-182.0;-144.0;203.0;1;0
501;-58.0;-183.0;204.0;1;0
502;-146.0;-206.0;204.0;1;0
503;-213.0;-29.0;205.0;1;0
504;-86.0;-37.0;205.0;1;0
505;-190.0;-150.0;205.0;1;0
506;-181.0;-29.0;206.0;1;0
507;-166.0;-30.0;206.0;1;0
508;-313.0;-42.0;206.0;1;0
509;-33.0;-76.0;206.0;1;0
510;-297.0;-290.0;206.0;1;0
511;-158.0;-292.0;206.0;1;0
512;-191.0;-78.0;208.0;1;0
513;-13.0;-28.0;209.0;1;0
514;-281.0;-127.0;209.0;1;0
515;-38.0;-208.0;209.0;1;0
516;-170.0;-228.0;209.0;1;0
517;-273.0;-293.0;209.0;1;0
518;-91.0;-126.0;210.0;1;0
519;-268.0;-237.0;210.0;1;0
520;-261.0;-44.0;212.0;1;0
521;-188.0;-196.0;213.0;1;0
522;-148.0;-275.0;213.0;1;0
523;-60.0;-291.0;213.0;1;0
524;-313.0;-53.0;214.0;1;0
525;-23.0;-192.0;214.0;1;0
526;-200.0;-219.0;214.0;1;0
527;-233.0;-293.0;214.0;1;0
528;-180.0;-72.0;215.0;1;0
529;-76.0;-141.0;215.0;1;0
530;-217.0;-184.0;215.0;1;0
531;-59.0;-216.0;215.0;1;0
532;-231.0;-96.0;216.0;1;0
533;-293.0;-124.0;216.0;1;0
534;-48.0;-71.0;217.0;1;0
535;-32.0;-213.0;217.0;1;0
536;-116.0;-64.0;218.0;1;0
537;-121.0;-144.0;218.0;1;0
538;-117.0;-175.0;218.0;1;0
539;-167.0;-28.0;219.0;1;0
540;-99.0;-110.0;220.0;1;0
541;-156.0;-171.0;220.0;1;0
542;-313.0;-268.0;221.0;1;0
543;-142.0;-55.0;222.0;1;0
544;-78.0;-65.0;222.0;1;0
545;-178.0;-80.0;222.0;1;0
546;-54.0;-29.0;223.0;1;0
547;-243.0;-62.0;223.0;1;0
548;-258.0;-107.0;223.0;1;0
549;-197.0;-223.0;223.0;1;0
550;-315.0;-225.0;223.0;1;0
551;-7.0;-226.0;223.0;1;0
552;-54.0;-284.0;223.0;1;0
553;-270.0;-284.0;223.0;1;0
554;-223.0;-88.0;224.0;1;0
555;-32.0;-69.0;225.0;1;0
556;-87.0;-143.0;225.0;1;0
557;-12.0;-200.0;225.0;1;0
558;-147.0;-247.0;225.0;1;0
559;-248.0;-266.0;225.0;1;0
560;-28.0;-293.0;225.0;1;0
561;-162.0;-293.0;225.0;1;0
562;-125.0;-175.0;227.0;1;0
563;-117.0;-186.0;227.0;1;0
564;-255.0;-293.0;227.0;1;0
565;-315.0;-156.0;228.0;1;0
566;-263.0;-207.0;228.0;1;0
567;-183.0;-238.0;228.0;1;0
568;-180.0;-292.0;228.0;1;0
569;-125.0;-293.0;228.0;1;0
570;-112.0;-37.0;229.0;1;0
571;-315.0;-114.0;229.0;1;0
572;-202.0;-128.0;229.0;1;0
573;-179.0;-77.0;230.0;1;0
574;-103.0;-294.0;230.0;1;0
575;-247.0;-86.0;232.0;1;0
576;-298.0;-136.0;232.0;1;0
577;-9.0;-174.0;232.0;1;0
578;-218.0;-228.0;232.0;1;0
579;-93.0;-289.0;232.0;1;0
580;-20.0;-113.0;233.0;1;0
581;-138.0;-115.0;233.0;1;0
582;-225.0;-134.0;233.0;1;0
583;-69.0;-142.0;233.0;1;0
584;-221.0;-148.0;233.0;1;0
585;-269.0;-127.0;235.0;1;0
586;-166.0;-192.0;235.0;1;0
587;-314.0;-280.0;235.0;1;0
588;-81.0;-293.0;236.0;1;0
589;-87.0;-28.0;238.0;1;0
590;-180.0;-150.0;238.0;1;0
591;-150.0;-211.0;238.0;1;0
592;-204.0;-31.0;239.0;1;0
593;-153.0;-51.0;239.0;1;0
594;-83.0;-113.0;239.0;1;0
595;-199.0;-66.0;240.0;1;0
596;-11.0;-207.0;240.0;1;0
597;-16.0;-248.0;241.0;1;0
598;-112.0;-290.0;241.0;1;0
599;-229.0;-33.0;242.0;1;0
600;-217.0;-155.0;242.0;1;0
601;-6.0;-284.0;242.0;1;0
602;-281.0;-293.0;242.0;1;0
603;-107.0;-28.0;243.0;1;0
604;-239.0;-59.0;243.0;1;0
605;-183.0;-189.0;243.0;1;0
606;-248.0;-293.0;243.0;1;0
607;-120.0;-87.0;244.0;1;0
608;-14.0;-95.0;244.0;1;0
609;-60.0;-215.0;244.0;1;0
610;-23.0;-104.0;245.0;1;0
611;-262.0;-142.0;245.0;1;0
612;-175.0;-265.0;245.0;1;0
613;-7.0;-102.0;247.0;1;0
614;-77.0;-219.0;247.0;1;0
615;-233.0;-153.0;248.0;1;0
616;-274.0;-154.0;248.0;1;0
617;-314.0;-36.0;249.0;1;0
618;-313.0;-75.0;249.0;1;0
619;-143.0;-221.0;249.0;1;0
620;-151.0;-226.0;249.0;1;0
621;-220.0;-293.0;249.0;1;0
622;-287.0;-174.0;250.0;1;0
623;-314.0;-46.0;251.0;1;0
624;-48.0;-102.0;251.0;1;0
625;-130.0;-170.0;251.0;1;0
626;-154.0;-291.0;251.0;1;0
627;-257.0;-30.0;253.0;1;0
628;-311.0;-193.0;253.0;1;0
629;-313.0;-218.0;253.0;1;0
630;-28.0;-294.0;253.0;1;0
631;-285.0;-204.0;254.0;1;0
632;-89.0;-74.0;257.0;1;0
633;-163.0;-205.0;257.0;1;0
634;-120.0;-290.0;257.0;1;0
635;-172.0;-211.0;258.0;1;0
636;-313.0;-278.0;258.0;1;0
637;-185.0;-201.0;259.0;1;0
638;-198.0;-165.0;260.0;1;0
639;-194.0;-220.0;260.0;1;0
640;-138.0;-294.0;260.0;1;0
641;-182.0;-158.0;261.0;1;0
642;-58.0;-251.0;262.0;1;0
643;-281.0;-293.0;262.0;1;0
644;-8.0;-33.0;263.0;1;0
645;-7.0;-102.0;263.0;1;0
646;-18.0;-115.0;263.0;1;0
647;-310.0;-219.0;263.0;1;0
648;-133.0;-54.0;264.0;1;0
649;-181.0;-140.0;264.0;1;0
650;-15.0;-212.0;265.0;1;0
651;-241.0;-225.0;265.0;1;0
652;-186.0;-242.0;265.0;1;0
653;-146.0;-69.0;267.0;1;0
654;-244.0;-80.0;267.0;1;0
655;-114.0;-117.0;267.0;1;0
656;-315.0;-205.0;267.0;1;0
657;-204.0;-124.0;268.0;1;0
658;-82.0;-219.0;268.0;1;0
659;-312.0;-148.0;269.0;1;0
660;-75.0;-177.0;269.0;1;0
661;-229.0;-197.0;269.0;1;0
662;-65.0;-284.0;269.0;1;0
663;-235.0;-138.0;270.0;1;0
664;-61.0;-182.0;270.0;1;0
665;-41.0;-30.0;271.0;1;0
666;-313.0;-139.0;271.0;1;0
667;-116.0;-220.0;271.0;1;0
668;-9.0;-291.0;271.0;1;0
669;-36.0;-213.0;272.0;1;0
670;-82.0;-248.0;272.0;1;0
671;-93.0;-274.0;272.0;1;0
672;-124.0;-293.0;272.0;1;0
673;-157.0;-142.0;273.0;1;0
674;-307.0;-292.0;273.0;1;0
675;-45.0;-294.0;273.0;1;0
676;-103.0;-208.0;274.0;1;0
677;-292.0;-290.0;274.0;1;0
678;-87.0;-291.0;274.0;1;0
679;-169.0;-28.0;275.0;1;0
680;-259.0;-28.0;275.0;1;0
681;-144.0;-30.0;275.0;1;0
682;-315.0;-93.0;275.0;1;0
683;-8.0;-130.0;275.0;1;0
684;-136.0;-215.0;275.0;1;0
685;-146.0;-216.0;276.0;1;0
686;-10.0;-221.0;276.0;1;0
687;-110.0;-291.0;276.0;1;0
688;-315.0;-236.0;277.0;1;0
689;-249.0;-288.0;277.0;1;0
690;-173.0;-218.0;278.0;1;0
691;-20.0;-57.0;280.0;1;0
692;-313.0;-80.0;281.0;1;0
693;-39.0;-174.0;281.0;1;0
694;-238.0;-250.0;281.0;1;0
695;-171.0;-294.0;281.0;1;0
696;-56.0;-28.0;282.0;1;0
