id;node1id;node2id;length;distance;curveness;volume;avgCrossSection;minRadiusAvg;minRadiusStd;avgRadiusAvg;avgRadiusStd;maxRadiusAvg;maxRadiusStd;roundnessAvg;roundnessStd;node1_degree;node2_degree;num_voxels;hasNodeAtSampleBorder
18;18;1600;21.7044;21.095;1.02889;198;9.12257;1.38807;0.179637;1.842;0.111387;2.27817;0.258717;0.619299;0.119029;1;3;19;0
19;19;1593;19.224;18.5472;1.03649;165;8.583;1.31195;0.262954;1.78974;0.149996;2.28799;0.288059;0.581558;0.13347;1;3;17;0
20;20;1656;46.0219;44.699;1.0296;1051;22.8369;2.17854;0.314168;2.78165;0.161268;3.45185;0.213856;0.633946;0.1031;1;3;39;0
21;21;1565;12.1623;11.4455;1.06262;63;5.17995;0.826837;0.0803659;1.61114;0.171094;2.24697;0.321007;0.372722;0.049722;1;3;9;0
22;22;1549;30.1074;29.2746;1.02845;266;8.83503;1.20185;0.249482;1.78655;0.174993;2.29268;0.406446;0.545589;0.162783;1;3;27;0
23;23;1627;46.0709;42.2137;1.09137;878;19.0576;1.87857;0.414066;2.70109;0.749985;3.71122;1.78294;0.568099;0.156219;1;3;37;0
24;24;1552;6.52871;6.36833;1.02518;36;5.5141;1.36031;0.0933115;1.74495;0.131639;2.39949;0.393275;0.587233;0.127366;1;3;3;0
25;25;1573;15.2439;15.1217;1.00808;142;9.31522;1.41731;0.100573;1.91772;0.127327;2.39459;0.249153;0.59642;0.060718;1;3;10;0
26;26;1554;53.5055;48.8262;1.09583;486;9.08318;1.3886;0.175451;1.84844;0.280662;2.32331;0.65532;0.62969;0.144949;1;3;47;0
27;27;1584;19.1109;19.07;1.00214;335;17.5293;1.90837;0.0334554;2.57087;0.435463;3.30192;1.06091;0.613074;0.111022;1;3;10;0
28;28;1610;22.8623;21.6384;1.05656;107;4.68019;0.845187;0.170589;1.44693;0.210295;1.92822;0.425208;0.456553;0.12847;1;3;19;0
29;29;1547;36.4818;29.7153;1.22771;359;9.84053;0.968094;0.321917;1.98475;0.798287;2.98416;1.71683;0.384675;0.164154;1;3;30;0
30;30;1586;37.4146;36.9324;1.01306;168;4.49023;0.828795;0.147869;1.43156;0.129093;1.91437;0.276581;0.44311;0.108459;1;3;33;0
31;31;1556;7.09303;7.07107;1.00311;56;7.89508;0.952671;0.182675;1.95079;0.571748;2.91669;1.35476;0.392871;0.144221;1;3;4;0
32;32;1602;44.3571;42.2966;1.04872;347;7.82288;1.21165;0.314152;1.81983;0.39955;2.38886;0.773334;0.530267;0.152702;1;3;35;0
33;33;1578;17.5644;16.8819;1.04042;175;9.96335;1.52286;0.147202;1.95978;0.19431;2.38026;0.474173;0.661891;0.125177;1;3;13;0
34;34;1579;14.4768;14.1421;1.02367;158;10.914;1.46744;0.172291;2.0953;0.245758;2.65737;0.445936;0.560572;0.0745135;1;3;10;0
35;35;1562;42.1612;38.6005;1.09224;324;7.6848;1.01191;0.398937;1.83139;0.516893;2.6241;1.41754;0.438932;0.20866;1;3;35;0
36;36;1718;72.1236;61.4898;1.17294;614;8.51316;1.30727;0.242515;1.83299;0.406789;2.4472;1.1304;0.590984;0.163766;1;3;62;0
37;37;1604;27.4551;26.5895;1.03256;340;12.3838;1.56328;0.247484;2.16231;0.478819;2.87456;0.949726;0.583515;0.147326;1;3;19;0
38;38;1558;26.9333;24.2143;1.11229;251;9.31934;1.34496;0.259923;1.91504;0.17587;2.4751;0.358185;0.555396;0.137304;1;3;19;0
39;39;1580;11.4419;11.1803;1.0234;104;9.08937;1.34991;0.146897;1.82206;0.0723936;2.24715;0.196545;0.608769;0.106436;1;3;9;0
40;40;1601;45.1368;38.3754;1.17619;437;9.68167;1.28481;0.255898;1.91722;0.271998;2.51557;0.599914;0.535286;0.155706;1;3;37;0
41;41;1587;14.8278;14.0357;1.05644;74;4.99063;0.723942;0.188235;1.51564;0.235521;2.04469;0.517407;0.381874;0.164274;1;3;11;0
42;42;1577;11.1982;11.0454;1.01383;56;5.00082;0.909057;0.22784;1.57142;0.187672;2.20538;0.448952;0.43104;0.144727;1;3;8;0
43;43;1555;28.2201;27.3679;1.03114;128;4.53577;0.892725;0.186991;1.43852;0.125956;1.86257;0.183531;0.48492;0.11424;1;3;23;0
44;44;1555;37.9474;36.8917;1.02861;315;8.30097;1.29457;0.219366;1.80096;0.255144;2.33218;0.717929;0.592412;0.171699;1;3;35;0
45;45;1560;6.40403;6.32456;1.01257;28;4.37225;0.780745;0.238998;1.49021;0.136639;1.97934;0.217897;0.404948;0.149476;1;3;5;0
46;46;1569;7.48291;7.34847;1.01829;81;10.8247;1.34517;0.138867;2.00435;0.330289;2.59117;0.781399;0.549656;0.111896;1;3;5;0
47;47;1572;12.354;12.0416;1.02594;316;25.5788;1.95145;0.274923;2.8623;0.3036;3.6467;0.636846;0.552695;0.125402;1;3;9;0
48;48;1563;11.0046;10.4403;1.05405;99;8.99622;1.36241;0.208766;1.83042;0.1815;2.29744;0.373971;0.615351;0.161578;1;3;9;0
49;49;1585;21.1571;20.8327;1.01557;109;5.15194;0.993956;0.206467;1.55989;0.338718;2.0026;0.743131;0.533543;0.153242;1;3;16;0
50;50;1594;38.8992;37.8021;1.02902;1285;33.0341;2.61918;0.191585;3.32267;0.255148;4.05195;0.593596;0.655225;0.0804167;1;3;29;0
51;51;1557;9.2048;9.0;1.02276;47;5.10603;0.780247;0.0678901;1.54411;0.171588;2.15678;0.35207;0.368336;0.0466036;1;3;7;0
52;52;1593;37.8275;25.5147;1.48258;378;9.99274;1.34608;0.26884;2.07666;0.720579;2.90065;1.59984;0.538001;0.175722;1;3;29;0
53;53;1613;28.1087;26.2488;1.07086;231;8.21809;1.27228;0.308775;1.98158;0.560908;2.84709;1.64661;0.542796;0.208458;1;3;22;0
54;54;1564;40.8708;37.8153;1.0808;423;10.3497;1.31723;0.217029;2.02215;0.559508;2.73856;1.25806;0.539135;0.152283;1;3;32;0
55;55;1657;43.7264;36.7831;1.18876;324;7.40971;1.11339;0.375874;1.72577;0.373468;2.30043;0.743632;0.506877;0.17149;1;3;37;0
56;56;1569;35.2581;30.7409;1.14695;353;10.0119;1.29956;0.236986;1.96722;0.375816;2.57701;0.803032;0.535123;0.13832;1;3;28;0
57;57;1585;34.017;33.121;1.02705;290;8.52516;1.20595;0.254799;1.81089;0.193512;2.35824;0.489278;0.534148;0.156995;1;3;30;0
58;58;1594;30.6109;30.3645;1.00812;1329;43.4159;3.22762;0.14444;3.79208;0.138291;4.32842;0.345511;0.750025;0.0649427;1;3;21;0
59;59;1566;8.01083;7.95823;1.00661;43;5.36773;0.879203;0.278492;1.66075;0.343719;2.37857;0.827034;0.397217;0.149351;1;3;5;0
60;60;1576;14.5651;14.2127;1.02479;151;10.3673;1.2837;0.216042;1.95782;0.290129;2.52014;0.603334;0.529787;0.126236;1;3;11;0
61;61;1554;61.3294;44.7772;1.36966;635;10.3539;1.30973;0.228464;2.01467;0.748062;2.69653;1.56922;0.551226;0.156285;1;3;52;0
62;62;1581;16.2476;15.748;1.03172;71;4.36987;0.868645;0.225308;1.46181;0.118665;2.04718;0.324643;0.436167;0.136973;1;3;14;0
63;63;1615;17.509;16.4317;1.06556;317;18.105;1.5612;0.197764;2.53099;0.346569;3.33333;0.773966;0.490862;0.119818;1;4;13;0
64;64;1551;35.8815;31.8416;1.12687;280;7.80346;1.17311;0.25193;1.81357;0.343607;2.42113;0.746819;0.510975;0.141556;1;3;30;0
65;65;1571;50.6912;47.55;1.06606;673;13.2765;1.45249;0.327843;2.17517;0.302875;2.78385;0.510819;0.532995;0.129414;1;3;43;0
66;66;1652;76.8581;61.1637;1.2566;1149;14.9496;1.57815;0.282338;2.33277;0.553199;3.08193;1.2936;0.549666;0.128957;1;3;64;0
67;67;1568;9.1946;9.03081;1.01814;111;12.0723;1.35894;0.130672;2.10176;0.494334;2.89644;1.14478;0.528669;0.16609;1;3;6;0
68;68;1560;7.53183;7.34847;1.02495;36;4.77972;0.979819;0.207873;1.54654;0.074492;1.91594;0.136198;0.517642;0.13003;1;3;5;0
69;69;1561;13.0384;12.8841;1.01198;68;5.21535;1.09146;0.240615;1.60526;0.16148;2.09922;0.403357;0.528136;0.116849;1;3;8;0
70;70;1566;17.3672;17.224;1.00831;84;4.8367;0.914443;0.156367;1.51811;0.148294;2.02466;0.271181;0.455889;0.0776391;1;3;13;0
71;71;1612;21.1153;20.6882;1.02065;186;8.80879;1.38313;0.177919;1.84442;0.118055;2.37419;0.25235;0.588966;0.0979119;1;3;17;0
72;72;1654;83.4203;73.8783;1.12916;1757;21.062;2.00081;0.44426;2.67488;0.538825;3.3135;0.970112;0.62606;0.14249;1;3;61;0
73;73;1674;36.2223;34.1906;1.05942;371;10.2423;1.35607;0.167209;1.97835;0.426334;2.68672;1.27799;0.568406;0.158009;1;3;30;0
74;74;1591;13.4089;13.2245;1.01394;118;8.80014;1.28156;0.204111;1.81067;0.179743;2.27429;0.422672;0.591383;0.165944;1;3;11;0
75;75;1638;32.5158;32.1714;1.0107;1162;35.7365;2.72755;0.128333;3.40408;0.333267;4.16273;0.762752;0.669084;0.0845462;1;3;22;0
76;76;1586;11.2835;11.1803;1.00923;51;4.51986;0.744564;0.284963;1.42706;0.158177;1.94582;0.225013;0.378212;0.10976;1;3;10;0
77;77;1597;9.41102;9.29157;1.01286;90;9.56326;1.21702;0.27753;1.85508;0.234339;2.39745;0.418749;0.517879;0.132163;1;3;7;0
78;78;1578;22.6658;21.5639;1.0511;239;10.5445;1.30592;0.274987;1.95325;0.276084;2.5975;0.582044;0.517282;0.121304;1;3;19;0
79;79;1621;23.1217;21.4009;1.08041;115;4.97368;0.736551;0.207173;1.56899;0.158202;2.0581;0.341341;0.35897;0.0891015;1;3;16;0
80;80;1614;12.1854;12.083;1.00847;115;9.43753;1.46624;0.0935891;1.94094;0.161331;2.57318;0.437233;0.583661;0.0928548;1;3;8;0
81;81;1607;22.2104;21.7179;1.02268;200;9.00477;1.26815;0.227305;1.80644;0.246495;2.31013;0.530861;0.569733;0.142002;1;3;19;0
82;82;1649;24.6738;24.3903;1.01162;118;4.78239;0.89835;0.193644;1.47434;0.239763;1.94875;0.501482;0.479104;0.132694;1;3;20;0
83;83;1552;17.8193;17.5468;1.01553;91;5.10682;1.12559;0.283935;1.60394;0.274436;2.06617;0.69643;0.583842;0.207799;1;3;11;0
84;84;1669;32.9311;30.8221;1.06843;278;8.44187;1.29507;0.208933;1.88889;0.455883;2.54138;1.24136;0.57822;0.170366;1;3;27;0
85;85;1574;87.4916;67.3243;1.29955;1295;14.8014;1.62247;0.13043;2.37131;0.537515;3.18104;1.44878;0.560108;0.129765;1;3;71;0
86;86;1616;30.8076;29.4618;1.04568;479;15.5481;1.71411;0.133419;2.32661;0.229621;2.87885;0.477447;0.607088;0.0846582;1;3;25;0
87;87;1576;13.6349;12.9615;1.05195;134;9.82776;1.36867;0.205625;1.97379;0.18494;2.53387;0.479257;0.557631;0.122971;1;3;9;0
88;88;1601;10.1477;9.93312;1.0216;84;8.27777;1.16033;0.16435;1.78789;0.0851736;2.29364;0.129391;0.508561;0.0843776;1;3;8;0
89;89;1694;40.5581;35.609;1.13899;383;9.44324;1.44472;0.166695;1.9026;0.149486;2.35592;0.374053;0.621968;0.091142;1;3;32;0
90;90;1617;36.5672;33.7787;1.08255;391;10.6926;1.28811;0.25716;2.14794;0.851604;3.11253;1.924;0.524125;0.203986;1;3;32;0
91;91;1581;33.7744;30.7896;1.09694;256;7.57971;1.0759;0.300109;1.79824;0.316975;2.43122;0.771294;0.466615;0.148107;1;3;27;0
92;92;1611;12.8631;12.2474;1.05027;112;8.70708;1.26351;0.127585;1.85527;0.127426;2.41758;0.24412;0.527263;0.0727601;1;3;10;0
93;93;1624;17.4477;17.1172;1.0193;89;5.10097;1.00529;0.329112;1.59405;0.299545;2.10161;0.684796;0.518998;0.245252;1;3;11;0
94;94;1597;25.5671;25.02;1.02187;208;8.13546;1.31232;0.255625;1.72861;0.184414;2.18284;0.394877;0.610093;0.128501;1;3;23;0
95;95;1638;24.4933;24.1868;1.01267;395;16.1269;1.87988;0.154079;2.45176;0.189966;3.00577;0.270923;0.62805;0.0508631;1;3;16;0
96;96;1687;43.8046;34.8999;1.25515;399;9.10864;1.17434;0.284564;1.95897;0.592934;2.72969;1.39127;0.480775;0.163403;1;3;35;0
97;97;1607;7.78876;7.63763;1.01979;70;8.98731;1.23879;0.215967;1.92059;0.178777;2.49653;0.373672;0.515228;0.151599;1;3;5;0
98;98;1623;5.52645;5.47723;1.00899;31;5.60939;0.862477;0.0377179;1.59663;0.37622;2.30274;0.755273;0.410287;0.111972;1;3;4;0
99;99;1673;61.649;48.1144;1.2813;554;8.98636;1.38608;0.162098;1.87257;0.0937579;2.34804;0.262739;0.598323;0.0983551;1;3;47;0
100;100;1650;23.6583;23.0217;1.02765;111;4.69181;0.8182;0.225581;1.51487;0.164755;2.05789;0.326651;0.407243;0.12031;1;3;19;0
101;101;1645;22.8359;21.0;1.08742;189;8.27644;1.15188;0.341001;1.85625;0.56932;2.61928;1.37736;0.492078;0.159953;1;3;18;0
102;102;1567;30.0528;27.5862;1.08941;170;5.65671;0.84582;0.254993;1.66402;0.684841;2.27341;1.21649;0.413893;0.155287;1;3;23;0
103;103;1602;15.1571;13.0767;1.15909;166;10.952;1.35972;0.211516;1.99578;0.265646;2.78644;0.632276;0.509695;0.130713;1;3;12;0
104;104;1692;36.9092;32.1559;1.14782;378;10.2414;1.38529;0.184065;1.947;0.266086;2.52446;0.63261;0.57327;0.130906;1;3;29;0
105;105;1644;7.91463;7.81025;1.01336;35;4.42219;0.91562;0.172058;1.58078;0.0651167;2.11697;0.112976;0.431942;0.0715947;1;3;5;0
106;106;1695;20.7805;20.3361;1.02185;115;5.53405;0.809131;0.156475;1.59348;0.635878;2.27819;1.2737;0.393304;0.106008;1;3;17;0
107;107;1648;9.99042;9.69536;1.03043;101;10.1097;1.31393;0.199153;1.91254;0.196508;2.47323;0.347866;0.534287;0.069824;1;3;8;0
108;108;1662;8.72353;8.557;1.01946;44;5.04383;0.863017;0.203109;1.53683;0.234991;2.16494;0.557424;0.418305;0.13116;1;3;6;0
109;109;1624;13.7279;13.6015;1.0093;66;4.80771;1.1229;0.254333;1.54261;0.181349;1.95792;0.382901;0.585582;0.146015;1;3;9;0
110;110;1736;41.5299;35.5856;1.16704;378;9.10187;1.43951;0.13233;1.87895;0.102759;2.33719;0.236963;0.622365;0.0869323;1;3;32;0
111;111;1608;14.6378;14.3527;1.01987;127;8.67615;1.28301;0.309875;1.79691;0.0943896;2.2849;0.267115;0.57814;0.174501;1;3;13;0
112;112;1610;24.2645;21.7537;1.11542;197;8.11886;1.16978;0.337213;2.0543;0.863669;3.10256;2.00372;0.450951;0.175952;1;3;19;0
113;113;1687;20.2587;20.0998;1.00791;94;4.63998;1.10438;0.247199;1.54741;0.203459;1.89807;0.48103;0.604258;0.176294;1;3;13;0
114;114;1657;37.245;34.1906;1.08933;306;8.21587;1.22131;0.249921;1.80327;0.179248;2.33939;0.509877;0.549241;0.164171;1;3;33;0
115;115;1609;26.5702;23.6854;1.1218;276;10.3876;1.46157;0.177186;1.98168;0.302149;2.49277;0.714969;0.617583;0.131575;1;3;19;0
116;116;1670;15.5226;15.0;1.03484;71;4.57396;0.735032;0.12277;1.49447;0.11156;2.02572;0.146039;0.365601;0.0724684;1;3;13;0
117;117;1697;29.0516;27.5862;1.05312;233;8.02022;1.15928;0.32641;1.80331;0.539953;2.37047;1.18343;0.523062;0.141566;1;3;22;0
118;118;1649;11.9521;11.7851;1.01417;47;3.93235;0.643443;0.152372;1.41039;0.133019;1.98633;0.35537;0.332017;0.0969761;1;3;10;0
119;119;1675;10.2587;10.0333;1.02246;59;5.75124;1.26771;0.263563;1.82075;0.422033;2.50593;1.04567;0.607771;0.27695;1;3;5;0
120;120;1682;12.7677;12.7279;1.00312;134;10.4953;1.52475;0.106209;2.13177;0.184527;2.78436;0.503779;0.565947;0.106418;1;3;7;0
121;121;1666;6.77461;6.70821;1.0099;37;5.46157;1.03328;0.150268;1.6391;0.24514;2.21834;0.629223;0.505279;0.150342;1;3;4;0
122;122;1656;12.5575;12.4231;1.01082;197;15.6879;1.63007;0.116005;2.33816;0.193075;2.94621;0.452459;0.564402;0.0843101;1;3;9;0
123;123;1662;7.89718;7.84574;1.00656;42;5.31836;0.741578;0.149806;1.60119;0.33379;2.31591;0.744382;0.349122;0.110822;1;3;6;0
124;124;1648;11.0869;10.8167;1.02499;107;9.651;1.29026;0.213612;1.89239;0.16114;2.46064;0.299869;0.536787;0.131953;1;3;9;0
125;125;1653;26.8259;21.7256;1.23476;212;7.90282;1.23827;0.267437;1.91104;0.449889;2.64685;1.24116;0.517025;0.158637;1;3;19;0
126;126;1661;21.8694;21.4709;1.01856;94;4.29823;0.794099;0.0864453;1.47073;0.0851563;2.00141;0.165004;0.40153;0.0704741;1;3;18;0
127;127;1733;30.2278;28.4371;1.06297;251;8.30362;1.25806;0.348214;1.88058;0.438095;2.42434;0.872798;0.554608;0.176172;1;3;22;0
128;128;1645;13.0179;12.5698;1.03564;64;4.91633;0.711363;0.133512;1.54173;0.233891;2.13606;0.445331;0.344786;0.0901346;1;3;10;0
129;129;1678;24.8114;22.7596;1.09015;217;8.74599;1.13419;0.344239;2.00626;0.936555;2.90126;2.16181;0.479341;0.16486;1;3;20;0
130;130;1653;10.048;9.94987;1.00986;47;4.67753;1.28749;0.215705;1.59722;0.134562;1.93252;0.44486;0.717664;0.24278;1;3;6;0
131;131;1664;10.8932;10.6301;1.02475;57;5.23263;0.821574;0.176461;1.49534;0.250997;2.03118;0.52549;0.434511;0.147149;1;3;9;0
132;132;1651;9.70081;9.27362;1.04607;91;9.38066;1.45126;0.11185;1.88239;0.159908;2.36187;0.38375;0.624547;0.0780058;1;3;7;0
133;133;1694;16.3232;16.1555;1.01038;184;11.2723;1.42896;0.157977;1.97699;0.338822;2.50969;0.761483;0.602445;0.12821;1;3;13;0
134;134;1670;11.4715;11.0454;1.03858;57;4.96883;0.845573;0.203036;1.52507;0.184431;2.03311;0.392391;0.427032;0.125205;1;3;8;0
135;135;1678;16.9853;16.5227;1.028;74;4.35671;0.676102;0.140603;1.43372;0.100006;1.98052;0.159672;0.342904;0.0739289;1;3;15;0
136;136;1716;23.9886;22.5758;1.06258;246;10.2549;1.46793;0.259459;2.1425;0.492922;2.95551;1.36274;0.578804;0.193092;1;3;17;0
137;137;1651;11.6693;11.5326;1.01185;118;10.112;1.54159;0.151654;1.97185;0.158182;2.36853;0.363473;0.662192;0.0981097;1;3;8;0
138;138;1691;6.98068;6.78233;1.02924;37;5.30035;0.862799;0.213824;1.58321;0.301375;2.2039;0.499061;0.396368;0.0866573;1;3;5;0
139;139;1707;44.4147;33.7672;1.31532;591;13.3064;1.36838;0.606535;2.38682;0.869889;3.60461;1.83259;0.424688;0.167875;1;3;32;0
140;140;1675;8.32136;8.24621;1.00911;50;6.00864;0.904865;0.321463;1.78115;0.278147;2.53296;0.628289;0.364541;0.119821;1;3;4;0
141;141;1680;22.1199;21.4243;1.03247;893;40.3709;2.83132;0.243449;3.58363;0.253982;4.42612;0.409156;0.643005;0.0625741;1;3;20;0
142;142;1611;36.7475;33.7491;1.08885;371;10.0959;1.32973;0.223223;1.99765;0.593451;2.7105;1.35781;0.549703;0.158995;1;3;30;0
143;143;1674;16.6525;15.6205;1.06607;142;8.52724;1.14676;0.351379;2.22201;0.945168;3.57374;2.27817;0.418563;0.202981;1;3;13;0
144;144;1730;23.803;23.4521;1.01496;118;4.95736;0.953193;0.243944;1.535;0.175899;1.97963;0.464998;0.503167;0.158924;1;3;16;0
145;145;1663;10.4766;10.0499;1.04246;99;9.44965;1.44943;0.116722;1.86692;0.133473;2.31546;0.32177;0.637283;0.095194;1;3;8;0
146;146;1696;18.6089;18.2026;1.02232;164;8.81299;1.35993;0.158377;1.78347;0.0874097;2.18437;0.223316;0.631719;0.112518;1;3;16;0
147;147;1713;10.6497;10.6092;1.00381;99;9.29605;1.43048;0.1342;1.89914;0.0928933;2.30178;0.190297;0.629108;0.100342;1;3;7;0
148;148;1644;20.822;20.3961;1.02088;102;4.89866;0.934907;0.20208;1.50839;0.0932741;1.92435;0.171302;0.494348;0.133611;1;3;16;0
149;149;1700;25.8898;25.02;1.03476;102;3.93978;0.759212;0.194778;1.36693;0.0852716;1.8343;0.176922;0.423694;0.137685;1;3;23;0
150;150;1735;28.1431;27.7309;1.01487;265;9.41616;1.37868;0.173218;1.94136;0.132799;2.52228;0.320623;0.554016;0.0924342;1;3;19;0
151;151;1737;20.3358;18.0555;1.12629;350;17.2111;1.4092;0.327895;3.17955;1.50995;5.29137;3.33329;0.371695;0.194702;1;2;14;0
152;152;1725;34.0292;25.9615;1.31076;291;8.55147;1.2483;0.278482;2.02058;0.678419;2.88977;1.78507;0.518781;0.192481;1;3;25;0
153;153;1692;13.48;13.0;1.03693;130;9.64389;1.31808;0.318894;1.86748;0.228231;2.41176;0.46735;0.558558;0.141203;1;3;11;0
154;154;1725;12.137;12.0416;1.00792;60;4.94358;0.65697;0.176138;1.56277;0.226802;2.12161;0.562721;0.326087;0.110384;1;3;8;0
155;155;1691;6.2761;6.16441;1.01812;29;4.6207;0.864252;0.0333144;1.4644;0.0944225;1.91197;0.122987;0.453006;0.0180115;1;3;4;0
156;156;1700;8.11951;7.87401;1.03118;40;4.9264;0.79225;0.15269;1.62559;0.237841;2.34835;0.525027;0.356508;0.107266;1;3;6;0
157;157;1721;9.36408;9.27362;1.00976;60;6.40746;0.884196;0.31999;1.66907;0.341576;2.43521;0.844575;0.383308;0.140576;1;3;6;0
158;158;1699;13.7521;13.3791;1.02788;65;4.72653;0.666578;0.159097;1.41503;0.186968;1.92057;0.257489;0.353744;0.104844;1;3;12;0
159;159;1731;16.1106;16.0382;1.00452;405;25.1387;2.4156;0.179055;2.99482;0.240847;3.59471;0.637762;0.691523;0.12241;1;3;9;0
160;160;1732;18.4011;17.9722;1.02386;186;10.1081;1.44344;0.129943;2.0052;0.198243;2.61771;0.441565;0.561734;0.0758237;1;3;11;0
161;161;1726;8.20127;8.12404;1.00951;49;5.97469;0.860382;0.174014;1.66907;0.400691;2.37002;0.839551;0.403899;0.1502;1;3;6;0
162;162;1720;10.5949;10.4881;1.01019;67;6.32378;1.01475;0.304064;1.77083;0.401628;2.40774;0.940544;0.475785;0.198636;1;3;6;0
163;163;1605;42.97;38.9487;1.10325;412;9.58809;1.41071;0.19726;1.94033;0.314305;2.54386;0.745126;0.584827;0.137895;1;3;35;0
164;164;1726;12.1578;12.0416;1.00965;58;4.77059;0.847455;0.0686232;1.47629;0.127301;1.97011;0.321104;0.437095;0.0524248;1;3;9;0
165;165;1676;22.8627;22.2036;1.02969;209;9.14151;1.41299;0.137594;1.8752;0.0619665;2.26606;0.113639;0.623791;0.0561934;1;3;17;0
166;166;1712;11.1128;11.0;1.01026;57;5.12921;1.08119;0.233044;1.55503;0.25064;2.0029;0.538186;0.556871;0.128731;1;3;8;0
167;167;1753;26.0552;22.1936;1.174;277;10.6313;1.45188;0.124502;2.17687;1.04121;3.02072;2.16767;0.597706;0.187833;1;3;20;0
168;168;1755;15.6211;15.384;1.01541;74;4.7372;0.910912;0.22759;1.52931;0.168192;2.01466;0.356671;0.461942;0.133314;1;3;11;0
169;169;1728;22.1923;20.6155;1.07648;201;9.05721;1.28564;0.326908;1.93573;0.451277;2.71022;1.23153;0.55044;0.219864;1;3;19;0
170;170;1739;7.26789;7.2111;1.00788;82;11.2825;1.46139;0.139541;1.97169;0.211069;2.56269;0.434795;0.584613;0.106554;1;3;5;0
171;171;1789;62.5628;60.1128;1.04076;498;7.96;1.23726;0.278784;1.77234;0.256272;2.29016;0.575285;0.558726;0.143705;1;3;54;0
172;172;1741;9.58;9.48683;1.00982;99;10.334;1.55021;0.134693;2.05414;0.277036;2.60147;0.642835;0.622219;0.123324;1;3;6;0
173;173;1690;18.1542;16.1245;1.12588;175;9.63962;1.3832;0.227371;1.97281;0.151046;2.51242;0.357857;0.565678;0.137571;1;3;13;0
174;174;1709;12.0714;11.8743;1.01659;114;9.44383;1.3168;0.177971;1.88623;0.150115;2.4231;0.317026;0.548434;0.0760903;1;3;10;0
175;175;1743;45.2037;39.9493;1.13153;978;21.6354;2.04482;0.320366;2.71311;0.190307;3.33689;0.409918;0.625179;0.141775;1;4;39;0
176;176;1706;14.9287;14.7309;1.01343;242;16.2104;1.73551;0.124151;2.36895;0.163737;2.90943;0.350625;0.602506;0.0668557;1;3;11;0
177;177;1741;12.039;11.8322;1.01748;60;4.98382;0.825667;0.198345;1.51213;0.169786;1.99456;0.402113;0.424137;0.118321;1;3;9;0
